status_id,status_type,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
246675545449582_1649696485147474,4,529,512,262,432,92,3,1,1,0
246675545449582_1649426988507757,2,150,0,0,150,0,0,0,0,0
246675545449582_1648730588577397,4,227,236,57,204,21,1,1,0,0
246675545449582_1648576705259452,2,111,0,0,111,0,0,0,0,0
246675545449582_1645700502213739,2,213,0,0,204,9,0,0,0,0
246675545449582_1645650162218773,2,217,6,0,211,5,1,0,0,0
246675545449582_1645564175560705,4,503,614,72,418,70,10,2,0,3
246675545449582_1644824665634656,4,295,453,53,260,32,1,1,0,1
246675545449582_1644655795651543,2,203,1,0,198,5,0,0,0,0
246675545449582_1638788379571618,2,170,9,1,167,3,0,0,0,0
246675545449582_1637655039684952,2,210,2,3,202,7,1,0,0,0
246675545449582_1636730006444122,2,222,4,0,213,5,4,0,0,0
246675545449582_1635846033199186,2,313,4,2,305,6,2,0,0,0
246675545449582_1635730986544024,2,209,4,0,200,8,1,0,0,0
246675545449582_1632874756829647,2,346,11,0,335,10,1,0,0,0
246675545449582_1628507150599741,4,332,100,30,303,23,1,5,0,0
246675545449582_1626584134125376,4,135,256,79,117,18,0,0,0,0
246675545449582_1622470701203386,4,150,173,47,132,16,1,0,1,0
246675545449582_1619188648198258,4,221,166,36,192,28,0,1,0,0
246675545449582_1617858078331315,2,152,2,0,149,3,0,0,0,0
246675545449582_1617109651739491,2,234,15,1,221,12,1,0,0,0
246675545449582_1617051285078661,2,227,7,1,217,7,2,1,0,0
246675545449582_1615645795219210,2,98,0,0,96,0,2,0,0,0
246675545449582_1615629888554134,4,18,0,0,18,0,0,0,0,0
246675545449582_1615585301891926,2,102,0,0,100,0,2,0,0,0
246675545449582_1615510251899431,4,37,0,1,37,0,0,0,0,0
246675545449582_1612677855516004,4,75,36,14,70,5,0,0,0,0
246675545449582_1612652492185207,4,90,78,9,85,5,0,0,0,0
246675545449582_1607114469405676,2,145,9,0,138,7,0,0,0,0
246675545449582_1603834916400298,4,253,300,31,229,22,1,1,0,0
246675545449582_1603743213076135,2,85,0,0,81,2,2,0,0,0
246675545449582_1601965753253881,4,45,14,0,40,5,0,0,0,0
246675545449582_1601596129957510,2,92,0,0,85,4,2,1,0,0
246675545449582_1601516779965445,2,125,1,0,116,8,1,0,0,0
246675545449582_1599664246817365,2,119,4,0,116,3,0,0,0,0
246675545449582_1599393216844468,2,293,8,0,281,11,1,0,0,0
246675545449582_1596564337127356,4,128,137,26,110,16,2,0,0,0
246675545449582_1594428064007650,2,84,15,13,78,5,1,0,0,0
246675545449582_1594137564036700,2,66,11,6,61,4,1,0,0,0
246675545449582_1592459934204463,4,171,292,28,150,19,1,1,0,0
246675545449582_1591545580962565,4,90,72,23,79,10,1,0,0,0
246675545449582_1587015831415540,4,139,39,9,121,16,1,1,0,0
246675545449582_1585003828283407,4,236,181,21,201,33,0,1,0,1
246675545449582_1584252028358587,4,225,210,34,193,30,0,2,0,0
246675545449582_1583900568393733,2,275,12,0,260,11,4,0,0,0
246675545449582_1583080255142431,4,372,456,37,334,31,1,1,1,4
246675545449582_1580958342021289,2,445,9,0,419,23,3,0,0,0
246675545449582_1580162495434207,4,128,60,11,114,13,0,0,0,1
246675545449582_1578866802230443,4,186,235,46,163,19,0,3,0,1
246675545449582_1577938978989892,4,309,444,36,254,42,2,8,3,0
246675545449582_1577078175742639,2,77,11,3,75,2,0,0,0,0
246675545449582_1576207142496409,4,119,72,28,103,16,0,0,0,0
246675545449582_1574973649286425,2,100,21,13,95,5,0,0,0,0
246675545449582_1574253679358422,4,240,255,111,193,44,1,1,0,1
246675545449582_1573231492793974,4,164,136,48,146,15,2,0,1,0
246675545449582_1572311072886016,4,202,327,42,171,30,1,0,0,0
246675545449582_1571313049652485,4,211,284,46,186,25,0,0,0,0
246675545449582_1570062096444247,4,148,114,16,136,10,0,2,0,0
246675545449582_1569275653189558,4,97,81,16,84,13,0,0,0,0
246675545449582_1568291729954617,4,279,292,34,254,20,3,1,1,0
246675545449582_1568182719965518,2,263,8,0,245,14,4,0,0,0
246675545449582_1568125783304545,4,177,193,34,151,25,1,0,0,0
246675545449582_1563157113801412,2,517,32,1,484,26,7,0,0,0
246675545449582_1563042160479574,4,289,258,33,256,33,0,0,0,0
246675545449582_1561427387307718,2,66,13,0,65,1,0,0,0,0
246675545449582_1561426890641101,2,112,6,0,104,8,0,0,0,0
246675545449582_1561178647332592,4,206,259,48,181,22,1,2,0,0
246675545449582_1560153374101786,4,362,468,86,305,56,0,0,1,0
246675545449582_1558134034303720,4,184,130,51,161,23,0,0,0,0
246675545449582_1557086421075148,4,216,251,34,199,16,0,0,0,1
246675545449582_1557066321077158,4,57,0,0,56,1,0,0,0,0
246675545449582_1556033787847078,4,272,258,43,226,44,1,1,0,0
246675545449582_1555610941222696,4,248,247,34,208,33,3,2,0,2
246675545449582_1555011641282626,4,132,89,40,110,20,1,0,0,1
246675545449582_1553995058050951,4,226,341,41,196,30,0,0,0,0
246675545449582_1553987821385008,4,35,1,0,35,0,0,0,0,0
246675545449582_1552962021487588,4,219,316,36,170,46,3,0,0,0
246675545449582_1552783698172087,4,94,1,1,94,0,0,0,0,0
246675545449582_1551983908252066,4,259,368,50,234,25,0,0,0,0
246675545449582_1551534661630324,4,62,1,0,62,0,0,0,0,0
246675545449582_1551514168299040,4,127,76,21,114,13,0,0,0,0
246675545449582_1550682265048897,4,149,63,15,134,15,0,0,0,0
246675545449582_1548244011959389,4,134,171,41,116,18,0,0,0,0
246675545449582_1546364775480646,4,392,461,47,360,32,0,0,0,0
246675545449582_1545432958907161,4,310,540,41,284,26,0,0,0,0
