status_id,status_published,status_type,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
246675545449582_1649696485147474,4/22/2018 6:00,video,529,512,262,432,92,3,1,1,0
246675545449582_1649426988507757,4/21/2018 22:45,photo,150,0,0,150,0,0,0,0,0
246675545449582_1648730588577397,4/21/2018 6:17,video,227,236,57,204,21,1,1,0,0
246675545449582_1648576705259452,4/21/2018 2:29,photo,111,0,0,111,0,0,0,0,0
246675545449582_1645700502213739,4/18/2018 3:22,photo,213,0,0,204,9,0,0,0,0
246675545449582_1645650162218773,4/18/2018 2:14,photo,217,6,0,211,5,1,0,0,0
246675545449582_1645564175560705,4/18/2018 0:24,video,503,614,72,418,70,10,2,0,3
246675545449582_1644824665634656,4/17/2018 7:42,video,295,453,53,260,32,1,1,0,1
246675545449582_1644655795651543,4/17/2018 3:33,photo,203,1,0,198,5,0,0,0,0
246675545449582_1638788379571618,04-11-18 4:53,photo,170,9,1,167,3,0,0,0,0
246675545449582_1637655039684952,04-10-18 1:01,photo,210,2,3,202,7,1,0,0,0
246675545449582_1636730006444122,04-09-18 2:06,photo,222,4,0,213,5,4,0,0,0
246675545449582_1635846033199186,04-08-18 5:10,photo,313,4,2,305,6,2,0,0,0
246675545449582_1635730986544024,04-08-18 2:23,photo,209,4,0,200,8,1,0,0,0
246675545449582_1632874756829647,04-05-18 9:23,photo,346,11,0,335,10,1,0,0,0
246675545449582_1628507150599741,04-01-18 5:16,video,332,100,30,303,23,1,5,0,0
246675545449582_1626584134125376,3/30/2018 8:28,video,135,256,79,117,18,0,0,0,0
246675545449582_1622470701203386,3/26/2018 8:28,video,150,173,47,132,16,1,0,1,0
246675545449582_1619188648198258,3/23/2018 7:09,video,221,166,36,192,28,0,1,0,0
246675545449582_1617858078331315,3/22/2018 1:25,photo,152,2,0,149,3,0,0,0,0
246675545449582_1617109651739491,3/21/2018 8:40,photo,234,15,1,221,12,1,0,0,0
246675545449582_1617051285078661,3/21/2018 7:46,photo,227,7,1,217,7,2,1,0,0
246675545449582_1615645795219210,3/20/2018 1:54,photo,98,0,0,96,0,2,0,0,0
246675545449582_1615629888554134,3/20/2018 1:28,video,18,0,0,18,0,0,0,0,0
246675545449582_1615585301891926,3/20/2018 0:15,photo,102,0,0,100,0,2,0,0,0
246675545449582_1615510251899431,3/19/2018 22:34,video,37,0,1,37,0,0,0,0,0
246675545449582_1612677855516004,3/17/2018 8:07,video,75,36,14,70,5,0,0,0,0
246675545449582_1612652492185207,3/17/2018 7:47,video,90,78,9,85,5,0,0,0,0
246675545449582_1607114469405676,03-12-18 5:51,photo,145,9,0,138,7,0,0,0,0
246675545449582_1603834916400298,03-09-18 7:45,video,253,300,31,229,22,1,1,0,0
246675545449582_1603743213076135,03-09-18 5:55,photo,85,0,0,81,2,2,0,0,0
246675545449582_1601965753253881,03-07-18 13:10,video,45,14,0,40,5,0,0,0,0
246675545449582_1601596129957510,03-07-18 6:13,photo,92,0,0,85,4,2,1,0,0
246675545449582_1601516779965445,03-07-18 4:46,photo,125,1,0,116,8,1,0,0,0
246675545449582_1599664246817365,03-05-18 8:32,photo,119,4,0,116,3,0,0,0,0
246675545449582_1599393216844468,03-05-18 2:48,photo,293,8,0,281,11,1,0,0,0
246675545449582_1596564337127356,03-02-18 9:55,video,128,137,26,110,16,2,0,0,0
246675545449582_1594428064007650,2/28/2018 8:19,photo,84,15,13,78,5,1,0,0,0
246675545449582_1594137564036700,2/28/2018 1:43,photo,66,11,6,61,4,1,0,0,0
246675545449582_1592459934204463,2/26/2018 8:50,video,171,292,28,150,19,1,1,0,0
246675545449582_1591545580962565,2/25/2018 10:13,video,90,72,23,79,10,1,0,0,0
246675545449582_1587015831415540,2/21/2018 0:19,video,139,39,9,121,16,1,1,0,0
246675545449582_1585003828283407,2/19/2018 0:11,video,236,181,21,201,33,0,1,0,1
246675545449582_1584252028358587,2/18/2018 7:15,video,225,210,34,193,30,0,2,0,0
246675545449582_1583900568393733,2/17/2018 22:30,photo,275,12,0,260,11,4,0,0,0
246675545449582_1583080255142431,2/17/2018 4:15,video,372,456,37,334,31,1,1,1,4
246675545449582_1580958342021289,2/15/2018 3:47,photo,445,9,0,419,23,3,0,0,0
246675545449582_1580162495434207,2/14/2018 8:23,video,128,60,11,114,13,0,0,0,1
246675545449582_1578866802230443,2/13/2018 1:16,video,186,235,46,163,19,0,3,0,1
246675545449582_1577938978989892,02-12-18 3:28,video,309,444,36,254,42,2,8,3,0
246675545449582_1577078175742639,02-11-18 5:55,photo,77,11,3,75,2,0,0,0,0
246675545449582_1576207142496409,02-10-18 7:54,video,119,72,28,103,16,0,0,0,0
246675545449582_1574973649286425,02-09-18 1:48,photo,100,21,13,95,5,0,0,0,0
246675545449582_1574253679358422,02-08-18 9:14,video,240,255,111,193,44,1,1,0,1
246675545449582_1573231492793974,02-07-18 8:35,video,164,136,48,146,15,2,0,1,0
246675545449582_1572311072886016,02-06-18 8:46,video,202,327,42,171,30,1,0,0,0
246675545449582_1571313049652485,02-05-18 9:20,video,211,284,46,186,25,0,0,0,0
246675545449582_1570062096444247,02-04-18 3:25,video,148,114,16,136,10,0,2,0,0
246675545449582_1569275653189558,02-03-18 8:34,video,97,81,16,84,13,0,0,0,0
246675545449582_1568291729954617,02-02-18 9:24,video,279,292,34,254,20,3,1,1,0
246675545449582_1568182719965518,02-02-18 7:08,photo,263,8,0,245,14,4,0,0,0
246675545449582_1568125783304545,02-02-18 6:01,video,177,193,34,151,25,1,0,0,0
246675545449582_1563157113801412,1/28/2018 7:50,photo,517,32,1,484,26,7,0,0,0
246675545449582_1563042160479574,1/28/2018 5:25,video,289,258,33,256,33,0,0,0,0
246675545449582_1561427387307718,1/26/2018 13:03,photo,66,13,0,65,1,0,0,0,0
246675545449582_1561426890641101,1/26/2018 13:02,photo,112,6,0,104,8,0,0,0,0
246675545449582_1561178647332592,1/26/2018 8:47,video,206,259,48,181,22,1,2,0,0
246675545449582_1560153374101786,1/25/2018 8:40,video,362,468,86,305,56,0,0,1,0
246675545449582_1558134034303720,1/23/2018 9:04,video,184,130,51,161,23,0,0,0,0
246675545449582_1557086421075148,1/22/2018 9:37,video,216,251,34,199,16,0,0,0,1
246675545449582_1557066321077158,1/22/2018 9:15,video,57,0,0,56,1,0,0,0,0
246675545449582_1556033787847078,1/21/2018 9:10,video,272,258,43,226,44,1,1,0,0
246675545449582_1555610941222696,1/20/2018 23:10,video,248,247,34,208,33,3,2,0,2
246675545449582_1555011641282626,1/20/2018 9:08,video,132,89,40,110,20,1,0,0,1
